"HCPCS-CPT_Code"	"HCPCS-CPT_Description"
"G0442"	"Annual alcohol misuse screening, 15 minutes"
"G0443"	"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes"
"G0438"	"Initial visit"
"G0439"	"Subsequent visit"
"76977"	"Ultrasound bone density measurement and interpretation, peripheral site(s), any method"
"77078"	"Computed tomography, bone mineral density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)"
"77080"	"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)"
"77081"	"DXA, bone density study, 1 or more sites; appendicular skeleton (peripheral) (eg, radius, wrist, heel)"
"G0130"	"Single energy X-ray absorptiometry (SEXA) bone density study, 1 or more sites, appendicular skeleton (peripheral) (eg, radius, wrist, heel)"
"80061"	"Lipid panel, this panel must include the following:"
"82465"	"Cholesterol, serum, total"
"83718"	"Lipoprotein, direct measurement, high density cholesterol (HDL cholesterol)"
"84478"	"Triglycerides"
"00810"	"Anesthesia for lower intestinal endoscopic procedures, endoscope introduced distal to duodenum"
"82270"	"Blood, occult, by peroxidase activity (eg, guaiac), qualitative; feces, consecutive collected specimens with single determination, for colorectal neoplasm screening (ie, patient was provided 3 cards or single triple card for consecutive collection)"
"G0104"	"Flexible Sigmoidoscopy"
"G0105"	"Colonoscopy (high risk)"
"G0106"	"Barium Enema (alternative to G0104)"
"G0120"	"Barium Enema (alternative to G0105)"
"G0121"	"Colonoscopy (not high risk)"
"G0328"	"Fecal Occult Blood Test (FOBT), immunoassay, 1-3 simultaneous"
"G0464"	"Colorectal cancer screening; stool-based DNA and fecal occult hemoglobin (e.g., KRAS, NDRG4 and BMP3)"
"G0436"	"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes"
"G0437"	"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes"
"G0444"	"Annual depression screening, 15 minutes"
"82947"	"Glucose; quantitative, blood (except reagent strip)"
"82950"	"Glucose; post glucose dose (includes glucose)"
"82951"	"Glucose; tolerance test (GTT), 3 specimens (includes glucose)"
"G0108"	"DSMT, individual, per 30 minutes"
"G0109"	"DSMT, group (2 or more), per 30 minutes"
"G0117"	"By an optometrist or ophthalmologist"
"G0118"	"Under the direct supervision of an optometrist or ophthalmologist"
"90739"	"Hepatitis B vaccine, adult dosage (2 dose schedule), for intramuscular use"
"90740"	"Hepatitis B vaccine, dialysis or immunosuppressed patient dosage (3 dose schedule), for intramuscular use"
"90743"	"Hepatitis B vaccine, adolescent (2 dose schedule), for intramuscular use"
"90744"	"Hepatitis B vaccine, pediatric/adolescent dosage (3 dose schedule), for intramuscular use"
"90746"	"Hepatitis B vaccine, adult dosage (3 dose schedule), for intramuscular use"
"90747"	"Hepatitis B vaccine, dialysis or immunosuppressed patient dosage (4 dose schedule), for intramuscular use"
"G0010"	"Administration"
"G0472"	"Hepatitis C antibody screening, for individual at high risk and other covered indication(s)"
"G0432"	"Infectious agent antibody detection by enzyme immunoassay (EIA) technique"
"G0433"	"Infectious agent antibody detection by enzyme-linked immunosorbent assay (ELISA) technique"
"G0435"	"Infectious agent antibody detection by rapid antibody test"
"90653"	"Influenza Virus Vaccine"
